nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
4353.317048,6.2e-05,0.009262,3.3029178945263214e-29,3224.546279,57,63,9,10, B2,0,4,0,3,6, B1,0,1,0,4,7
4353.35582,0.000126,6.4392e-07,2.544904823199684e-29,1059.646575,17,15,8,7, A1,0,3,0,0,8, A2,0,0,0,5,3
4353.504151,9.9e-05,0.038615,8.256786195157956e-30,3940.584362,111,111,18,18, B1,0,0,1,5,13, B2,0,0,0,3,16
4353.677754,8.7e-05,3.8328e-05,1.62954280242229e-29,2327.912599,87,87,14,14, B2,0,2,0,7,8, B1,0,0,0,2,13
4353.702851,5.6e-05,0.090272,4.835443952264878e-25,1806.669485,87,81,14,13, B2,1,0,0,3,12, B1,0,0,0,0,13
4353.853076,7.2e-05,2.1582e-05,5.1056010634092204e-30,2433.799069,81,75,13,12, B2,0,3,0,1,12, B1,0,0,0,6,7
4354.089302,6.7e-05,0.25767,1.1708332980291439e-25,2327.912599,93,87,15,14, B2,1,0,0,3,12, B1,0,0,0,2,13
4354.385117,0.000138,0.002444,1.860925072723053e-30,3629.094326,87,93,14,15, B1,1,1,0,4,11, B2,0,0,0,7,8
4354.404001,0.000237,4.8835e-05,9.496024139126958e-30,2248.063135,27,27,13,13, A1,0,2,0,8,6, A2,0,0,0,3,11
4354.460718,0.000155,0.087952,1.569839953087146e-25,1806.670049,29,27,14,13, A1,1,0,0,2,12, A2,0,0,0,1,13
4354.489985,8.8e-05,0.032858,1.8451375790552011e-28,3244.5993,99,93,16,15, B2,1,0,0,7,10, B1,0,0,0,4,11
4354.496075,4.5e-05,0.0012029,1.3946112919665474e-26,1581.335664,63,63,10,10, B2,0,0,1,8,2, B1,0,0,0,4,7
4355.365257,7.8e-05,9.146e-06,1.5123688899143038e-29,1774.615197,23,25,11,12, A1,1,0,0,8,4, A2,0,0,0,1,11
4355.552135,0.00013,0.26893,4.0711856704146325e-26,2327.882531,31,29,15,14, A1,1,0,0,4,12, A2,0,0,0,1,13
4355.699507,0.000359,0.28316,3.0008052801105247e-30,4534.9613,99,93,16,15, B1,0,2,0,12,5, B2,0,0,0,11,4
4355.700422,0.000359,0.28316,1.0002675396964044e-30,4534.961396,33,31,16,15, A1,0,2,0,12,4, A2,0,0,0,11,5
4355.796469,7.6e-05,0.00016394,7.129426796893903e-29,2275.371915,69,75,11,12, B1,0,1,1,1,11, B2,0,0,0,5,8
