wavelength_micron,normalized_flux,err_normalized_flux
2.2919372,9.002270e-01,7.618000e-03
2.2919496,8.964830e-01,8.852000e-03
2.2919621,8.858380e-01,1.330300e-02
2.2919745,8.810000e-01,9.596000e-03
2.2919870,8.901000e-01,9.981000e-03
2.2919994,9.146310e-01,1.115200e-02
2.2920119,8.959130e-01,1.204900e-02
2.2920243,9.063360e-01,1.091600e-02
2.2920368,8.850010e-01,1.219700e-02
2.2920492,8.947300e-01,7.369000e-03
2.2920617,8.866170e-01,1.018300e-02
2.2920741,8.998480e-01,6.379000e-03
2.2920865,9.059330e-01,1.534300e-02
2.2920990,9.110390e-01,9.147000e-03
2.2921114,9.052860e-01,7.987000e-03
2.2921239,9.217790e-01,1.199000e-02
2.2921363,9.251840e-01,7.005000e-03
2.2921488,9.396870e-01,7.504000e-03
2.2921612,9.544820e-01,8.575000e-03
2.2921737,9.486240e-01,1.105400e-02
2.2921861,9.702550e-01,9.937000e-03
2.2921986,9.633380e-01,1.778200e-02
2.2922110,9.854500e-01,1.171200e-02
2.2922234,1.005130e+00,1.386800e-02
2.2922359,1.000109e+00,2.514900e-02
2.2922483,9.692440e-01,1.009800e-02
2.2922608,9.823590e-01,1.188400e-02
2.2922732,1.003276e+00,1.193200e-02
2.2922857,1.016869e+00,1.104200e-02
2.2922981,9.909650e-01,1.303100e-02
2.2923105,9.883770e-01,1.122800e-02
2.2923230,9.620750e-01,1.147000e-02
2.2923354,9.598380e-01,7.504000e-03
2.2923479,9.756300e-01,9.526000e-03
2.2923603,9.814180e-01,1.295600e-02
2.2923728,9.840450e-01,1.041000e-02
2.2923852,9.890410e-01,1.218300e-02
2.2923976,9.647400e-01,9.652000e-03
2.2924101,9.407290e-01,1.359400e-02
2.2924225,9.551570e-01,7.284000e-03
2.2924349,9.621710e-01,1.018700e-02
2.2924474,9.328110e-01,1.298000e-02
2.2924598,9.491210e-01,8.655000e-03
2.2924723,9.483810e-01,8.207000e-03
2.2924847,9.390220e-01,1.801600e-02
2.2924971,9.596680e-01,1.986100e-02
2.2925096,9.980330e-01,1.109200e-02
2.2925220,9.635320e-01,1.083200e-02
2.2925344,9.647040e-01,1.199100e-02
2.2925469,9.626930e-01,1.080900e-02
2.2925593,9.509200e-01,1.115700e-02
2.2925718,9.337740e-01,1.122800e-02
2.2925842,9.627630e-01,8.391000e-03
2.2925966,9.611610e-01,8.685000e-03
2.2926091,9.735240e-01,1.022100e-02
2.2926215,9.808780e-01,9.158000e-03
2.2926339,9.768150e-01,1.196300e-02
2.2926464,9.898920e-01,9.541000e-03
2.2926588,9.970900e-01,1.052600e-02
2.2926712,9.897520e-01,1.222000e-02
2.2926837,1.000262e+00,9.531000e-03
2.2926961,1.005139e+00,1.259200e-02
2.2927085,1.018860e+00,1.165600e-02
2.2927210,1.028543e+00,9.060000e-03
2.2927334,1.020914e+00,1.115800e-02
2.2927458,1.018337e+00,8.522000e-03
2.2927583,1.041009e+00,7.905000e-03
2.2927707,1.046959e+00,1.022200e-02
2.2927831,1.051996e+00,7.346000e-03
2.2927956,1.041863e+00,8.098000e-03
2.2928080,1.030100e+00,1.108200e-02
2.2928204,1.037431e+00,9.811000e-03
2.2928328,1.057040e+00,8.678000e-03
2.2928453,1.069990e+00,1.002600e-02
2.2928577,1.049973e+00,6.342000e-03
2.2928701,1.044589e+00,6.946000e-03
2.2928826,1.071368e+00,1.120200e-02
2.2928950,1.070466e+00,6.530000e-03
2.2929074,1.080113e+00,8.541000e-03
2.2929198,1.058379e+00,9.428000e-03
2.2929323,1.068425e+00,9.746000e-03
2.2929447,1.065686e+00,1.151500e-02
2.2929571,1.081046e+00,7.943000e-03
2.2929696,1.068932e+00,6.490000e-03
2.2929820,1.069858e+00,9.992000e-03
2.2929944,1.072819e+00,1.046600e-02
2.2930068,1.066320e+00,1.135000e-02
2.2930193,1.058883e+00,1.054400e-02
2.2930317,1.079920e+00,1.009200e-02
2.2930441,1.095244e+00,1.045600e-02
2.2930565,1.098867e+00,8.973000e-03
2.2930690,1.084295e+00,8.916000e-03
2.2930814,1.073173e+00,7.631000e-03
2.2930938,1.055306e+00,9.483000e-03
2.2931062,1.043649e+00,7.333000e-03
2.2931186,1.058287e+00,9.653000e-03
2.2931311,1.057333e+00,9.403000e-03
2.2931435,1.046133e+00,7.879000e-03
2.2931559,1.052055e+00,5.582000e-03
2.2931683,1.048632e+00,7.841000e-03
2.2931808,1.045964e+00,8.259000e-03
2.2931932,1.026044e+00,8.568000e-03
2.2932056,1.023522e+00,1.219600e-02
2.2932180,1.024816e+00,1.280300e-02
2.2932304,1.028087e+00,8.006000e-03
2.2932429,1.018243e+00,1.156400e-02
2.2932553,1.015454e+00,1.188200e-02
2.2932677,1.002660e+00,1.011100e-02
2.2932801,1.003869e+00,1.147600e-02
2.2932925,1.016682e+00,8.826000e-03
2.2933050,1.020899e+00,8.844000e-03
2.2933174,1.008764e+00,9.680000e-03
2.2933298,1.025840e+00,1.328700e-02
2.2933422,1.025226e+00,9.294000e-03
2.2933546,1.040009e+00,1.148800e-02
2.2933670,1.022589e+00,7.821000e-03
2.2933795,1.048455e+00,7.128000e-03
2.2933919,1.045113e+00,7.197000e-03
2.2934043,1.058945e+00,8.751000e-03
2.2934167,1.030139e+00,8.260000e-03
2.2934291,1.044414e+00,9.670000e-03
2.2934415,1.059043e+00,7.917000e-03
2.2934540,1.051990e+00,9.253000e-03
2.2934664,1.033027e+00,9.125000e-03
2.2934788,1.039861e+00,9.882000e-03
2.2934912,1.034575e+00,1.121400e-02
2.2935036,1.056290e+00,8.754000e-03
2.2935160,1.057669e+00,9.008000e-03
2.2935284,1.042152e+00,8.359000e-03
2.2935409,1.030166e+00,7.397000e-03
2.2935533,1.022907e+00,8.941000e-03
2.2935657,1.015516e+00,8.706000e-03
2.2935781,1.004352e+00,6.356000e-03
2.2935905,9.700920e-01,7.145000e-03
2.2936029,9.496490e-01,8.024000e-03
2.2936153,9.316710e-01,6.378000e-03
2.2936277,9.144610e-01,8.935000e-03
2.2936402,8.962640e-01,8.735000e-03
2.2936526,8.651460e-01,9.400000e-03
2.2936650,8.435380e-01,9.627000e-03
2.2936774,8.138860e-01,9.853000e-03
2.2936898,7.993090e-01,8.198000e-03
2.2937022,7.849960e-01,6.963000e-03
2.2937146,7.702760e-01,6.596000e-03
2.2937270,7.459340e-01,8.311000e-03
2.2937394,7.454500e-01,5.898000e-03
2.2937518,7.318120e-01,8.260000e-03
2.2937642,7.149130e-01,8.477000e-03
2.2937767,7.096720e-01,9.958000e-03
2.2937891,6.911620e-01,9.569000e-03
2.2938015,6.855550e-01,1.044000e-02
2.2938139,6.740320e-01,1.119800e-02
2.2938263,6.697710e-01,1.074000e-02
2.2938387,6.434880e-01,1.323900e-02
2.2938511,6.622430e-01,7.594000e-03
2.2938635,6.642100e-01,1.037300e-02
2.2938759,6.561080e-01,9.741000e-03
2.2938883,6.571410e-01,5.326000e-03
2.2939007,6.700710e-01,5.623000e-03
2.2939131,6.584850e-01,9.723000e-03
2.2939255,6.848970e-01,8.596000e-03
2.2939379,6.842730e-01,8.970000e-03
2.2939503,6.987600e-01,5.457000e-03
2.2939627,6.902730e-01,1.070800e-02
2.2939751,7.123280e-01,7.306000e-03
2.2939875,7.113900e-01,8.084000e-03
2.2939999,6.934880e-01,7.433000e-03
2.2940123,7.002230e-01,7.218000e-03
2.2940247,7.275950e-01,8.576000e-03
2.2940372,7.172260e-01,1.003500e-02
2.2940496,7.083770e-01,1.205200e-02
2.2940620,7.117690e-01,1.104700e-02
2.2940744,7.351190e-01,7.093000e-03
2.2940868,7.356020e-01,7.971000e-03
2.2940992,7.576970e-01,9.391000e-03
2.2941116,7.526940e-01,1.036500e-02
2.2941240,7.514290e-01,1.188300e-02
2.2941364,7.588230e-01,1.298000e-02
2.2941488,7.845100e-01,4.452000e-03
2.2941612,7.749570e-01,8.649000e-03
2.2941735,7.887030e-01,5.902000e-03
2.2941859,7.810780e-01,8.321000e-03
2.2941983,7.766220e-01,4.648000e-03
2.2942107,7.812590e-01,1.066100e-02
2.2942231,7.665410e-01,9.345000e-03
2.2942355,7.806860e-01,1.030800e-02
2.2942479,7.879280e-01,1.140000e-02
2.2942603,7.934930e-01,9.723000e-03
2.2942727,7.802250e-01,5.686000e-03
2.2942851,7.895900e-01,7.322000e-03
2.2942975,8.036470e-01,6.654000e-03
2.2943099,8.013060e-01,7.639000e-03
2.2943223,8.403350e-01,8.424000e-03
2.2943347,8.157890e-01,6.165000e-03
2.2943471,8.298170e-01,6.705000e-03
2.2943595,8.393450e-01,5.884000e-03
2.2943719,8.311280e-01,1.145200e-02
2.2943843,8.379390e-01,8.944000e-03
2.2943967,8.441450e-01,6.806000e-03
2.2944091,8.368130e-01,7.493000e-03
2.2944215,8.560900e-01,7.225000e-03
2.2944339,8.335790e-01,7.646000e-03
2.2944462,8.209110e-01,8.816000e-03
2.2944586,8.249520e-01,6.190000e-03
2.2944710,8.306840e-01,1.024700e-02
2.2944834,8.275460e-01,7.903000e-03
2.2944958,8.303410e-01,9.325000e-03
2.2945082,8.386550e-01,4.485000e-03
2.2945206,8.388240e-01,1.019000e-02
2.2945330,8.394700e-01,1.117100e-02
2.2945454,8.177860e-01,7.628000e-03
2.2945578,8.338350e-01,9.951000e-03
2.2945701,8.428770e-01,4.862000e-03
2.2945825,8.313590e-01,8.260000e-03
2.2945949,8.278400e-01,8.309000e-03
2.2946073,8.198020e-01,7.211000e-03
2.2946197,8.174140e-01,9.539000e-03
2.2946321,8.026650e-01,9.383000e-03
2.2946445,8.060280e-01,8.446000e-03
2.2946569,8.127340e-01,8.093000e-03
2.2946693,7.958110e-01,7.764000e-03
2.2946816,7.972160e-01,6.602000e-03
2.2946940,7.887410e-01,6.607000e-03
2.2947064,7.662640e-01,6.871000e-03
2.2947188,7.621930e-01,9.603000e-03
2.2947312,7.701260e-01,6.844000e-03
2.2947436,7.716180e-01,6.772000e-03
2.2947560,7.673080e-01,1.007400e-02
2.2947683,7.759010e-01,7.333000e-03
2.2947807,7.588000e-01,7.408000e-03
2.2947931,7.651150e-01,1.000700e-02
2.2948055,7.788160e-01,1.033000e-02
2.2948179,7.877730e-01,6.569000e-03
2.2948303,7.694320e-01,1.065000e-02
2.2948426,7.855010e-01,9.653000e-03
2.2948550,7.905250e-01,9.868000e-03
2.2948674,7.944970e-01,1.231100e-02
2.2948798,7.830870e-01,1.198700e-02
2.2948922,7.950940e-01,1.067700e-02
2.2949045,8.106470e-01,1.131400e-02
2.2949169,8.240740e-01,1.067500e-02
2.2949293,8.326760e-01,1.055100e-02
2.2949417,8.023730e-01,7.419000e-03
2.2949541,8.166680e-01,7.129000e-03
2.2949665,8.282290e-01,1.055200e-02
2.2949788,8.236770e-01,1.067200e-02
2.2949912,8.259900e-01,1.297000e-02
2.2950036,8.130630e-01,1.162400e-02
2.2950160,8.141990e-01,1.025900e-02
2.2950283,8.182350e-01,9.381000e-03
2.2950407,8.273680e-01,9.411000e-03
2.2950531,8.187050e-01,1.086200e-02
2.2950655,8.315990e-01,7.628000e-03
2.2950779,8.198830e-01,7.209000e-03
2.2950902,8.174370e-01,8.459000e-03
2.2951026,8.136740e-01,7.661000e-03
2.2951150,8.018130e-01,9.394000e-03
2.2951274,7.943450e-01,1.086000e-02
2.2951397,7.712650e-01,9.373000e-03
2.2951521,7.610060e-01,1.070300e-02
2.2951645,7.526340e-01,5.195000e-03
2.2951769,7.603170e-01,9.314000e-03
2.2951892,7.485940e-01,1.301200e-02
2.2952016,7.363560e-01,1.612100e-02
2.2952140,7.355310e-01,1.329600e-02
2.2952264,7.273970e-01,7.547000e-03
2.2952387,7.343480e-01,8.913000e-03
2.2952511,7.437460e-01,7.259000e-03
2.2952635,7.531000e-01,7.599000e-03
2.2952759,7.480170e-01,5.224000e-03
2.2952882,7.559010e-01,9.759000e-03
2.2953006,7.574500e-01,6.890000e-03
2.2953130,7.627140e-01,1.039100e-02
2.2953253,7.801610e-01,7.713000e-03
2.2953377,7.939340e-01,5.436000e-03
2.2953501,7.933480e-01,7.337000e-03
2.2953625,8.097800e-01,8.999000e-03
2.2953748,8.120650e-01,7.671000e-03
2.2953872,8.135010e-01,6.809000e-03
2.2953996,8.313080e-01,5.655000e-03
2.2954119,8.239130e-01,1.005500e-02
2.2954243,8.306420e-01,7.414000e-03
2.2954367,8.208310e-01,9.100000e-03
2.2954490,8.247910e-01,8.864000e-03
