# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
1.914881113160485938e+03 1.463556487059886890e-01 7.165790806561999921e-04 6.382028384732999458e-04
1.918814093848538960e+03 1.457654837309474982e-01 7.052291143692000167e-04 6.687443342800999989e-04
1.922747118770554152e+03 1.451362599397167108e-01 6.396338661494000528e-04 6.242652058290000441e-04
1.926680185558110452e+03 1.471245986780742032e-01 6.521146036369999477e-04 6.725337753945000250e-04
1.930613291922940789e+03 1.460647794456579884e-01 6.700238610823000323e-04 7.415658284921999941e-04
1.934546435660163979e+03 1.456244396079910963e-01 7.721098891427999582e-04 6.716093574192000173e-04
1.938479614745008803e+03 1.474791849234237118e-01 6.524053732160999507e-04 7.012522347233000148e-04
1.942412827141865364e+03 1.458293232177385879e-01 7.049360051664000509e-04 6.807144130373000155e-04
1.946346070764447632e+03 1.460085342692606092e-01 6.923530041554999898e-04 6.905206005053000223e-04
1.950279343695440957e+03 1.464095887984022959e-01 7.517473775545000176e-04 6.611014028027999969e-04
1.954212644129616820e+03 1.465320403106079028e-01 6.872404879180000429e-04 6.590008513776999741e-04
1.958145970341909333e+03 1.465260294542176933e-01 7.212612563138999597e-04 7.008977222032000427e-04
1.962079320687414338e+03 1.472811149556881027e-01 6.970062934995000003e-04 6.844665725302999729e-04
1.966012693601391902e+03 1.477081403816402905e-01 6.909017944034999631e-04 6.773529826312000299e-04
1.969946087599265638e+03 1.461341942615144995e-01 8.095411591465999715e-04 7.257419568158999645e-04
1.973879501276627025e+03 1.473353224410935969e-01 6.945508218977000138e-04 7.096499327077000503e-04
1.977812933309231994e+03 1.463607852157488010e-01 7.313661446238000274e-04 6.891871377385999989e-04
1.981746382453005936e+03 1.451540562931591949e-01 7.341979252606999984e-04 7.622837834747000401e-04
1.985679847544040058e+03 1.467296773931628107e-01 7.041887241208000118e-04 7.411140562839999956e-04
1.989613327498595709e+03 1.456744684731124118e-01 6.901547497973999556e-04 6.477177419445999612e-04
1.993546821314212821e+03 1.458081257508639095e-01 7.191468539825999562e-04 6.985125297056000038e-04
1.998463708592439161e+03 1.438995192785013089e-01 5.643131892357000157e-04 5.719483582661999844e-04
2.022064992847543181e+03 1.466003277774148017e-01 7.312202858488000157e-04 7.342004019720999855e-04
2.025998573222266486e+03 1.454231270997904946e-01 7.469739295279999866e-04 8.045590266116000146e-04
2.029932161975902090e+03 1.460895985031558930e-01 8.104975295282000180e-04 7.908781957024999540e-04
2.033865758928670630e+03 1.477713086996665093e-01 7.997718952847999736e-04 7.188396934947000137e-04
2.037799363980964699e+03 1.469862136029679023e-01 8.025905872710999665e-04 6.837237221630999492e-04
2.041732977113348170e+03 1.459413135876538037e-01 7.353823273374000520e-04 7.868845673184999678e-04
2.045666598386555961e+03 1.454509413540779894e-01 7.150997175288999761e-04 6.973038837185999541e-04
2.049600227941499725e+03 1.462430068907862868e-01 7.658790116440000175e-04 7.904879126730999465e-04
2.053533866002662307e+03 1.462368873818241932e-01 7.354530941568000399e-04 7.470511397701999580e-04
