# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6267.7246094,8.250229999999999e-20,2250.0,,,,
6267.6796875,6.117877e-20,2250.0,,,,
6267.3916016,8.240639e-20,2250.0,,,,
6267.3066406,5.136861e-20,2250.0,,,,
6267.2866211,7.963093e-20,2250.0,,,,
6267.1850586,2.5754499999999997e-19,2250.0,,,,
6267.1337891,7.625891e-20,2250.0,,,,
6266.9458008,8.963217e-20,2250.0,,,,
6266.9023438,3.6082299999999995e-20,2250.0,,,,
6266.8583984,2.5126429999999995e-19,2250.0,,,,
6266.7880859,3.620258e-20,2250.0,,,,
6266.7880859,6.275608e-20,2250.0,,,,
6266.5947266,9.785128e-20,2250.0,,,,
6266.5136719,8.320166e-20,2250.0,,,,
6266.2880859,2.447953e-20,2250.0,,,,
6266.2607422,1.225201e-19,2250.0,,,,
6266.1689453,1.2482919999999998e-19,2250.0,,,,
6266.0585938,8.153225e-20,2250.0,,,,
6266.0336914,8.197941999999999e-20,2250.0,,,,
6265.8662109,6.658129e-20,2250.0,,,,
6265.5600586,1.3153119999999998e-19,2250.0,,,,
6265.5283203,6.673033e-20,2250.0,,,,
6265.1826172,9.257518e-20,2250.0,,,,
6265.1157227,4.7727269999999996e-20,2250.0,,,,
6264.9672852,7.736691e-20,2250.0,,,,
6264.8999023,7.966075e-20,2250.0,,,,
6264.7841797,8.920712e-20,2250.0,,,,
6264.7485352,9.986686e-20,2250.0,,,,
6264.6391602,6.622437999999999e-20,2250.0,,,,
6264.5595703,7.131373999999999e-20,2250.0,,,,
6264.5009766,5.480567999999999e-20,2250.0,,,,
6264.3823242,5.977385e-19,2250.0,,,,
6264.2294922,1.3468449999999998e-19,2250.0,,,,
6264.0551758,9.157954999999999e-20,2250.0,,,,
6263.875,8.458522999999999e-20,2250.0,,,,
6263.8100586,4.2937919999999996e-19,2250.0,,,,
6263.7651367,3.4336819999999997e-19,2250.0,,,,
6263.4614258,2.8940689999999995e-19,2250.0,,,,
6263.3789062,8.180109e-20,2250.0,,,,
6263.3564453,4.196377e-20,2250.0,,,,
6263.2485352,3.4115549999999997e-19,2250.0,,,,
6262.9628906,7.870077999999999e-19,2250.0,,,,
6262.9072266,9.111243e-20,2250.0,,,,
6262.7827148,6.272489e-19,2250.0,,,,
6262.6772461,9.804737e-20,2250.0,,,,
6262.465332,1.239336e-19,2250.0,,,,
6262.1811523,4.0420129999999997e-19,2250.0,,,,
6262.0688477,3.081416e-18,2250.0,,,,
6261.9145508,2.818175e-18,2250.0,,,,
6261.6357422,1.0709409999999999e-19,2250.0,,,,
6261.4575195,4.1464429999999998e-19,2250.0,,,,
6261.3662109,2.150884e-19,2250.0,,,,
6261.2329102,3.8102159999999997e-19,2250.0,,,,
6261.0009766,5.205266e-20,2250.0,,,,
6260.9047852,4.7050999999999996e-20,2250.0,,,,
6260.7998047,2.193735e-19,2250.0,,,,
6260.5009766,3.6718459999999995e-19,2250.0,,,,
6260.0512695,8.796838e-20,2250.0,,,,
6259.8974609,5.3299649999999995e-19,2250.0,,,,
6259.5708008,3.645859e-19,2250.0,,,,
6259.3867188,2.658344e-19,2250.0,,,,
6259.2407227,1.624795e-19,2250.0,,,,
6258.9472656,6.609353e-20,2250.0,,,,
6258.6777344,5.750339999999999e-20,2250.0,,,,
